image_urls,name,price,shop
https://s.ek.ua/jpg/820890.jpg,Canon i-SENSYS LBP710CX,27486,Click24.in.ua
https://s.ek.ua/jpg/820890.jpg,Canon i-SENSYS LBP710CX,56716,Ebox24.biz
https://s.ek.ua/jpg/2200757.jpg,Epson L1210,6659,Denika.ua
https://s.ek.ua/jpg/2199810.jpg,Canon i-SENSYS LBP236DW,11914,Kvshop.com.ua
https://s.ek.ua/jpg/1376511.jpg,Epson Expression Photo HD XP-15000,17860,Click24.in.ua
https://s.ek.ua/jpg/820890.jpg,Canon i-SENSYS LBP710CX,9918,Denika.ua
https://s.ek.ua/jpg/820890.jpg,Canon i-SENSYS LBP710CX,27764,Ebox24.biz
https://s.ek.ua/jpg/2199810.jpg,Canon i-SENSYS LBP236DW,10299,Protsyk.net
https://s.ek.ua/jpg/2199810.jpg,Canon i-SENSYS LBP236DW,12075,Stylus.ua
https://s.ek.ua/jpg/2199810.jpg,Canon i-SENSYS LBP236DW,12075,Цифра
https://s.ek.ua/jpg/2199810.jpg,Canon i-SENSYS LBP236DW,11481,АЛЛО
https://s.ek.ua/jpg/1376511.jpg,Epson Expression Photo HD XP-15000,17860,click24.biz
https://s.ek.ua/jpg/1376511.jpg,Epson Expression Photo HD XP-15000,15427,Denika.ua
https://s.ek.ua/jpg/2199809.jpg,Canon i-SENSYS LBP233DW,9749,Protsyk.net
https://s.ek.ua/jpg/2199809.jpg,Canon i-SENSYS LBP233DW,9700,Megadom.biz
https://s.ek.ua/jpg/2199809.jpg,Canon i-SENSYS LBP233DW,9768,Tehnopostavka.com.ua
https://s.ek.ua/jpg/2199809.jpg,Canon i-SENSYS LBP233DW,11658,Q-techno.com.ua
https://s.ek.ua/jpg/2199810.jpg,Canon i-SENSYS LBP236DW,12299,Ktc.ua
https://s.ek.ua/jpg/2199810.jpg,Canon i-SENSYS LBP236DW,10891,Enko.com.ua
https://s.ek.ua/jpg/1826803.jpg,Canon PIXMA TR150,15834,Moyo.ua
https://s.ek.ua/jpg/1376511.jpg,Epson Expression Photo HD XP-15000,16500,Texnoswit.com.ua
https://s.ek.ua/jpg/2199809.jpg,Canon i-SENSYS LBP233DW,11848,Click24.in.ua
https://s.ek.ua/jpg/1826803.jpg,Canon PIXMA TR150,20211,Kvshop.com.ua
https://s.ek.ua/jpg/1826803.jpg,Canon PIXMA TR150,19129,FOXTROT.UA
https://s.ek.ua/jpg/1826803.jpg,Canon PIXMA TR150,18352,A-techno.com.ua
https://s.ek.ua/jpg/1826803.jpg,Canon PIXMA TR150,18163,Stylus.ua
https://s.ek.ua/jpg/1826803.jpg,Canon PIXMA TR150,17966,Цифра
https://s.ek.ua/jpg/1376511.jpg,Epson Expression Photo HD XP-15000,15469,Saren.com.ua
https://s.ek.ua/jpg/1376511.jpg,Epson Expression Photo HD XP-15000,21252,Ebox24.biz
https://s.ek.ua/jpg/2199809.jpg,Canon i-SENSYS LBP233DW,11848,click24.biz
https://s.ek.ua/jpg/2199809.jpg,Canon i-SENSYS LBP233DW,10599,Mta.ua
https://s.ek.ua/jpg/1826803.jpg,Canon PIXMA TR150,15864,TTT.ua
https://s.ek.ua/jpg/2423893.jpg,Canon PIXMA TS705A,5004,Tehnopostavka.com.ua
https://s.ek.ua/jpg/2233699.jpg,Epson WorkForce WF-110W,13155,Click24.in.ua
https://s.ek.ua/jpg/2233699.jpg,Epson WorkForce WF-110W,13155,click24.biz
https://s.ek.ua/jpg/615469.jpg,Canon SELPHY CP1000,6578,click24.biz
https://s.ek.ua/jpg/615469.jpg,Canon SELPHY CP1000,6578,Click24.in.ua
https://s.ek.ua/jpg/2423893.jpg,Canon PIXMA TS705A,3497,Tomdom.prom.ua
https://s.ek.ua/jpg/2233699.jpg,Epson WorkForce WF-110W,13288,Ebox24.biz
https://s.ek.ua/jpg/615469.jpg,Canon SELPHY CP1000,6436,Saren.com.ua
https://s.ek.ua/jpg/615469.jpg,Canon SELPHY CP1000,6644,Ebox24.biz
https://s.ek.ua/jpg/615469.jpg,Canon SELPHY CP1000,6410,Timesport.com.ua
https://s.ek.ua/jpg/2423893.jpg,Canon PIXMA TS705A,5217,Denika.ua
https://s.ek.ua/jpg/2423893.jpg,Canon PIXMA TS705A,3494,Saren.com.ua
https://s.ek.ua/jpg/2233699.jpg,Epson WorkForce WF-110W,17644,Ebox24.biz
https://s.ek.ua/jpg/1536516.jpg,Canon PIXMA TS704,4810,Kvshop.com.ua
https://s.ek.ua/jpg/615469.jpg,Canon SELPHY CP1000,6407,Tomdom.prom.ua
https://s.ek.ua/jpg/615469.jpg,Canon SELPHY CP1000,6404,Redprice.prom.ua
https://s.ek.ua/jpg/2055994.jpg,Canon PIXMA PRO-200,26397,Click24.in.ua
https://s.ek.ua/jpg/2055994.jpg,Canon PIXMA PRO-200,26397,click24.biz
https://s.ek.ua/jpg/397266.jpg,Epson L1300,26365,Moyo.ua
https://s.ek.ua/jpg/1536516.jpg,Canon PIXMA TS704,4848,FOXTROT.UA
https://s.ek.ua/jpg/1536516.jpg,Canon PIXMA TS704,4584,Stylus.ua
https://s.ek.ua/jpg/2055994.jpg,Canon PIXMA PRO-200,26664,Ebox24.biz
https://s.ek.ua/jpg/2055994.jpg,Canon PIXMA PRO-200,33880,Ebox24.biz
